,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
12,False,/kdbLf3aTQsEXqYlH9vA4fzmnSFz.jpg,"[10752, 18, 28]",228150,en,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",104.462,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,2014-10-15,Fury,False,7.5,10615
13,False,/rBWF1zHdU2abEfmhAoLMr3PUJC5.jpg,"[878, 53, 27]",520763,en,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",90.461,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,2021-05-21,A Quiet Place Part II,False,7.5,5211
14,False,/uzIGtyS6bbnJzGsPL93WCF1FWm8.jpg,"[12, 28, 14]",1865,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",100.326,/keGfSvCmYj7CvdRx36OdVrAEibE.jpg,2011-05-14,Pirates of the Caribbean: On Stranger Tides,False,6.5,12711
15,False,/nJbWAc8wakV3BncyF4643SyFWPr.jpg,"[35, 878, 12]",774752,en,The Guardians of the Galaxy Holiday Special,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",103.532,/8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg,2022-11-25,The Guardians of the Galaxy Holiday Special,False,7.3,1214
16,False,/dAzuZIIZVehzJBWBXvHoglArMDG.jpg,"[878, 12, 53]",131631,en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,97.646,/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg,2014-11-19,The Hunger Games: Mockingjay - Part 1,False,6.8,14247
17,False,/nnUQqlVZeEGuCRx8SaoCU4XVHJN.jpg,"[14, 12, 10751]",532639,en,Pinocchio,A wooden puppet embarks on a thrilling adventure to become a real boy.,96.988,/g8sclIV4gj1TZqUpnL82hKOTK3B.jpg,2022-09-07,Pinocchio,False,6.5,1331
18,False,/cyecB7godJ6kNHGONFjUyVN9OX5.jpg,"[28, 878, 12]",1726,en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",113.413,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,2008-04-30,Iron Man,False,7.6,24100
19,False,/coWUgAjqwyu2W7YFlb71rlukPKZ.jpg,[],1076605,en,Cazadora,"Psychological thriller where the character's strength, submerged in the landscape's majesty, leads us through a tense, bleak and chilling path.",155.593,/p0pvd23j7yA9aJzB6EatoblJ3kO.jpg,2023-01-19,Cazadora,False,6.6,5
0,False,/s65RPy7DiBS4PXvUR3fiTw5f725.jpg,"[28, 53, 80]",972313,en,Blowback,"When a master thief is sabotaged during a bank heist and left for dead, he seeks revenge on his former crew one target at a time. Now, with the cops and the mob closing in, he's in the race of his life to reclaim an untold fortune in cryptocurrency from those who double-crossed him.",94.432,/fHQHC32dhom8u0OxC2hs2gYQh0M.jpg,2022-06-17,Blowback,False,6.0,40
1,False,/gqN5Z1yMhZQ9qW4YnYpeL8epwlM.jpg,"[28, 18]",348893,en,Boyka: Undisputed IV,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude.",106.047,/7QGdIJWWTkPhVjpQ0zA6z69khod.jpg,2016-08-01,Boyka: Undisputed IV,False,7.1,1109
